MovieName	Genres	Director	Actors	Tagline	Summary	BoxOfficeBudget	BoxOfficeGross
The Shawshank Redemption	Crime|Drama	Frank Darabont	Tim Robbins,	Fear can hold you prisoner. Hope can set you free.	Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.	 $25,000,000 (estimated)	 $28,341,469 (USA)
The Godfather	Crime|Drama	Francis Ford Coppola	Marlon Brando,	The Godfather is now a movie. See more »	The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.	 $6,000,000 (estimated)	 $134,821,952 (USA)(2 May 1997)
The Godfather: Part II	Crime|Drama	Francis Ford Coppola	Al Pacino,	NA	The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on his crime syndicate stretching from Lake Tahoe, Nevada to pre-revolution 1958 Cuba.	 $13,000,000 (estimated)	 $57,300,000 (USA)
The Dark Knight	Action|Crime|Drama	Christopher Nolan	Christian Bale,	The night is darkest before the dawn. See more »	When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice.	 $185,000,000 (estimated)	 $533,316,061 (USA)(27 February 2009)
12 Angry Men	Crime|Drama	Sidney Lumet	Henry Fonda,	...it explodes like twelve sticks of dynamite! See more »	A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.	 $350,000 (estimated)	NA
Schindler's List	Biography|Drama|History	Steven Spielberg	Liam Neeson,	Whoever saves one life, saves the world entire. See more »	In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.	 $22,000,000 (estimated)	 $96,067,179 (USA)
Pulp Fiction	Crime|Drama	Quentin Tarantino	John Travolta,	Just because you are a character doesn't mean you have character. See more »	The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.	 $8,000,000 (estimated)	 $107,930,000 (USA)
The Lord of the Rings: The Return of the King	Adventure|Drama|Fantasy	Peter Jackson	Elijah Wood,	The eye of the enemy is moving. See more »	Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.	 $94,000,000 (estimated)	 $377,019,252 (USA)(28 May 2004)
Il buono, il brutto, il cattivo	Western	Sergio Leone	Clint Eastwood,	For Three Men The Civil War Wasn't Hell. It Was Practice! See more »	A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.	 $1,200,000 (estimated)	 $6,100,000 (USA)
Fight Club	Drama	David Fincher	Brad Pitt,	How much can you know about yourself if you've never been in a fight? See more »	An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more.	 $63,000,000 (estimated)	 $37,023,395 (USA)(25 February 2000)
The Lord of the Rings: The Fellowship of the Ring	Adventure|Drama|Fantasy	Peter Jackson	Elijah Wood,	One ring to rule them all, One ring to find them, One ring to bring them all and in the darkness bind them See more »	A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle Earth from the Dark Lord Sauron.	 $93,000,000 (estimated)	 $313,837,577 (USA)(5 December 2003)
Star Wars: Episode V - The Empire Strikes Back	Action|Adventure|Fantasy	Irvin Kershner	Mark Hamill,	The Adventure Continues... See more »	After the rebels have been brutally overpowered by the Empire on their newly established base, Luke Skywalker takes advanced Jedi training with Master Yoda, while his friends are pursued by Darth Vader as part of his plan to capture Luke.	 $18,000,000 (estimated)	 $290,158,751 (USA)(9 May 1997)
Forrest Gump	Comedy|Drama	Robert Zemeckis	Tom Hanks,	The world will never be the same once you've seen it through the eyes of Forrest Gump. See more »	Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him.	 $55,000,000 (estimated)	 $329,691,196 (USA)
Inception	Action|Adventure|Sci-Fi	Christopher Nolan	Leonardo DiCaprio,	Your mind is the scene of the crime See more »	A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.	 $160,000,000 (estimated)	 $292,568,851 (USA)(31 December 2010)
The Lord of the Rings: The Two Towers	Adventure|Drama|Fantasy	Peter Jackson	Elijah Wood,	The Battle for Middle-earth Begins! See more »	While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.	 $94,000,000 (estimated)	 $340,478,898 (USA)(12 December 2003)
One Flew Over the Cuckoo's Nest	Drama	Milos Forman	Jack Nicholson,	If he's crazy, what does that make you?	A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.	 $4,400,000 (estimated)	 $112,000,000 (USA)
Goodfellas	Biography|Crime|Drama	Martin Scorsese	Robert De Niro,	Shooting people was 'No big deal'. See more »	Henry Hill and his friends work their way up through the mob hierarchy.	 $25,000,000 (estimated)	 $46,836,394 (USA)
The Matrix	Action|Sci-Fi	Lana Wachowski (as The Wachowski Brothers),	Keanu Reeves,	Be Afraid Of The Future See more »	A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.	 $63,000,000 (estimated)	 $171,383,253 (USA)(17 September 1999)
Shichinin no samurai	Action|Adventure|Drama	Akira Kurosawa	Toshirô Mifune,	The Mighty Warriors Who Became the Seven National Heroes of a Small Town See more »	A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.	 $2,000,000 (estimated)	 $269,061 (USA)(29 August 2003)
Star Wars	Action|Adventure|Fantasy	George Lucas	Mark Hamill,	Somewhere, in space, this could all be happening right now. See more »	Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader.	 $11,000,000 (estimated)	 $460,935,665 (USA)(2 May 1997)
Cidade de Deus	Crime|Drama	Fernando Meirelles,	Alexandre Rodrigues,	If you run, the beast will get you. If you stay, the beast will eat you See more »	Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.	 $3,300,000 (estimated)	 $7,563,397 (USA)(18 June 2004)
Se7en	Crime|Drama|Mystery	David Fincher	Morgan Freeman,	Seven deadly sins. Seven ways to die. See more »	Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.	 $33,000,000 (estimated)	 $100,125,340 (USA)
The Silence of the Lambs	Crime|Drama|Thriller	Jonathan Demme	Jodie Foster,	Dr. Hannibal Lecter. Brilliant. Cunning. Psychotic. In his mind lies the clue to a ruthless killer. - Clarice Starling, FBI. Brilliant. Vulnerable. Alone. She must trust him to stop the killer. See more »	A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.	 $19,000,000 (estimated)	 $130,727,000 (USA)
It's a Wonderful Life	Drama|Family|Fantasy	Frank Capra	James Stewart,	Frank Capra's..."It's a Wonderful Life". See more »	An angel helps a compassionate but despairingly frustrated businessman by showing what life would have been like if he never existed.	 $3,180,000 (estimated)	NA
The Usual Suspects	Crime|Drama|Mystery	Bryan Singer	Kevin Spacey,	Who is Keyser Soze? See more »	A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.	 $6,000,000 (estimated)	 $23,272,306 (USA)
La vita è bella	Comedy|Drama|War	Roberto Benigni	Roberto Benigni,	An unforgettable fable that proves love, family and imagination conquer all. See more »	When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.	 $20,000,000 (estimated)	 $57,598,247 (USA)(1 October 1999)
Léon	Crime|Drama|Thriller	Luc Besson	Jean Reno,	You can't stop what you can't see. See more »	Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.	 FRF 115,000,000 (estimated)	 $32,346,209 (USA)
Sen to Chihiro no kamikakushi	Animation|Adventure|Family	Hayao Miyazaki	Daveigh Chase,	(The tunnel led Chihiro to a mysterious town...)	During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.	 $19,000,000 (estimated)	 $10,049,886 (USA)(29 August 2003)
Saving Private Ryan	Action|Drama|War	Steven Spielberg	Tom Hanks,	There was only one man left in the family, and the mission was to save him. See more »	Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.	 $70,000,000 (estimated)	 $216,119,491 (USA)(21 May 1999)
Once Upon a Time in the West	Western	Sergio Leone	Henry Fonda,	There were three men in her life. One to take her... one to love her... and one to kill her.	A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.	 $5,000,000 (estimated)	NA
American History X	Crime|Drama	Tony Kaye	Edward Norton,	His father taught him to hate. His friends taught him rage. His enemies gave him hope. See more »	A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.	 $7,500,000 (estimated)	 $6,712,241 (USA)(26 March 1999)
Interstellar	Adventure|Drama|Sci-Fi	Christopher Nolan	Matthew McConaughey,	Mankind was born on Earth. It was never meant to die here. See more »	A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.	 $165,000,000 (estimated)	 $187,991,439 (USA)(13 March 2015)
Casablanca	Drama|Romance|War	Michael Curtiz	Humphrey Bogart,	As big and timely a picture as ever you've seen! You can tell by the cast it's important! gripping! big! See more »	In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.	 $950,000 (estimated)	NA
Psycho	Horror|Mystery|Thriller	Alfred Hitchcock	Anthony Perkins,	The Essential Alfred Hitchcock. See more »	A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.	 $806,947 (estimated)	 $32,000,000 (USA)
City Lights	Comedy|Drama|Romance	Charles Chaplin	Charles Chaplin,	NA	With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.	 $1,500,000 (estimated)	NA
Raiders of the Lost Ark	Action|Adventure	Steven Spielberg	Harrison Ford,	The Return of the Great Adventure. See more »	Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.	 $18,000,000 (estimated)	 $242,374,454 (USA)
The Green Mile	Crime|Drama|Fantasy	Frank Darabont	Tom Hanks,	Paul Edgecomb didn't believe in miracles. Until the day he met one. See more »	The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.	 $60,000,000 (estimated)	 $136,801,374 (USA)(12 May 2000)
The Intouchables	Biography|Comedy|Drama	Olivier Nakache,	François Cluzet,	Sometimes you have to reach into someone else's world to find out what's missing in your own. See more »	After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.	 €9,500,000 (estimated)	 $13,179,837 (USA)(11 January 2013)
Modern Times	Comedy|Drama|Family	Charles Chaplin (as Charlie Chaplin)	Charles Chaplin,	He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius! See more »	The Tramp struggles to live in modern industrial society with the help of a young homeless woman.	 $1,500,000 (estimated)	 $163,245 (USA)(22 October 2004)
Rear Window	Mystery|Thriller	Alfred Hitchcock	James Stewart,	Suspense Of Screaming Proportions! See more »	A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.	 $1,000,000 (estimated)	 $24,500,000 (USA)
Terminator 2: Judgment Day	Action|Sci-Fi|Thriller	James Cameron	Arnold Schwarzenegger,	This time he's back...for good! See more »	A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her young son, John Connor, from a more advanced cyborg, made out of liquid metal.	 $102,000,000 (estimated)	 $204,843,350 (USA)
The Departed	Crime|Drama|Thriller	Martin Scorsese	Leonardo DiCaprio,	Undercover See more »	An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.	 $90,000,000 (estimated)	 $132,373,442 (USA)(16 March 2007)
The Pianist	Biography|Drama|War	Roman Polanski	Adrien Brody,	Music was his passion. Survival was his masterpiece.	A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.	 $35,000,000 (estimated)	 $32,519,322 (USA)(30 May 2003)
Back to the Future	Adventure|Comedy|Sci-Fi	Robert Zemeckis	Michael J. Fox,	He was never in time for his classes... He wasn't in time for his dinner... Then one day... he wasn't in his time at all. See more »	Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.	 $19,000,000 (estimated)	 $210,609,762 (USA)
Whiplash	Drama|Music	Damien Chazelle	Miles Teller,	The road to greatness can take you to the edge	A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.	 $3,300,000 (estimated)	 $13,092,000 (USA)(27 March 2015)
Gladiator	Action|Adventure|Drama	Ridley Scott	Russell Crowe,	Father of a murdered son, husband to a murdered wife and I shall have my vengeance in this life or the next See more »	When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.	 $103,000,000 (estimated)	 $187,670,866 (USA)(13 April 2001)
Memento	Mystery|Thriller	Christopher Nolan	Guy Pearce,	Some memories are best forgotten	A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.	 $9,000,000 (estimated)	 $25,530,884 (USA)(9 November 2001)
Apocalypse Now	Drama|War	Francis Ford Coppola (as Francis Coppola)	Martin Sheen,	The Horror. . . The Horror. . .	During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.	 $31,500,000 (estimated)	 $78,800,000 (USA)
The Prestige	Drama|Mystery|Sci-Fi	Christopher Nolan	Christian Bale,	A Friendship That Became a Rivalry. See more »	Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.	 $40,000,000 (estimated)	 $53,082,743 (USA)(2 February 2007)
The Lion King	Animation|Adventure|Drama	Roger Allers,	Matthew Broderick,	The Circle of Life See more »	Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.	 $45,000,000 (estimated)	 $422,783,777 (USA)(13 January 2012)
Alien	Horror|Sci-Fi	Ridley Scott	Sigourney Weaver,	In space no one can hear you scream. See more »	After a space merchant vessel perceives an unknown transmission as distress call, their landing on the source moon finds one of the crew attacked by a mysterious lifeform. Continuing their journey back to Earth with the attacked crew having recovered and the critter deceased, they soon realize that its life cycle has merely begun.	 $11,000,000 (estimated)	 $78,900,000 (USA)
Dr	Comedy	Stanley Kubrick	Peter Sellers,	the wild hot-line suspense comedy See more »	An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically try to stop.	 $1,800,000 (estimated)	NA
Sunset Blvd	Drama|Film-Noir	Billy Wilder	William Holden,	A HOLLYWOOD STORY	A hack screenwriter writes a screenplay for a former silent-film star who has faded into Hollywood obscurity.	 $1,752,000 (estimated)	NA
The Great Dictator	Comedy|Drama|War	Charles Chaplin	Charles Chaplin,	He talks. See more »	Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.	 $2,000,000 (estimated)	NA
The Lives of Others	Drama|Thriller	Florian Henckel von Donnersmarck	Ulrich Mühe,	Before the Fall of the Berlin Wall, East Germany's Secret Police Listened to Your Secrets See more »	In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.	 $2,000,000 (estimated)	 $11,284,657 (USA)(7 September 2007)
Nuovo Cinema Paradiso	Drama	Giuseppe Tornatore	Philippe Noiret,	A celebration of youth, friendship, and the everlasting magic of the movies.	A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.	 $5,000,000 (estimated)	 $11,990,401 (USA)
Paths of Glory	Drama|War	Stanley Kubrick	Kirk Douglas,	Now the screen blasts open the bombshell story of a Colonel who led his regiment into hell and back - while their maddened General waited for them - with a firing squad! See more »	After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.	 $935,000 (estimated)	NA
Django Unchained	Drama|Western	Quentin Tarantino	Jamie Foxx,	This Christmas, Django is off the chain. See more »	With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.	 $100,000,000 (estimated)	 $162,804,648 (USA)(10 May 2013)
The Shining	Drama|Horror	Stanley Kubrick	Jack Nicholson,	A masterpiece of modern horror See more »	A family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future.	 $19,000,000 (estimated)	NA
Hotaru no haka	Animation|Drama|War	Isao Takahata	Tsutomu Tatsumi,	NA	A young boy and his little sister struggle to survive in Japan during World War II.	 $3,700,000 (estimated)	NA
WALL·E	Animation|Adventure|Family	Andrew Stanton	Ben Burtt,	After 700 years of doing what he was built for - he'll discover what he's meant for. See more »	In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.	 $180,000,000 (estimated)	 $223,806,889 (USA)(2 January 2009)
The Dark Knight Rises	Action|Thriller	Christopher Nolan	Christian Bale,	The Legend Ends See more »	Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Catwoman, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.	 $250,000,000 (estimated)	 $448,130,642 (USA)(7 December 2012)
American Beauty	Drama|Romance	Sam Mendes	Kevin Spacey,	... look closer	A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.	 $15,000,000 (estimated)	 $130,058,047 (USA)(2 June 2000)
Aliens	Action|Adventure|Sci-Fi	James Cameron	Sigourney Weaver,	This time there's more. See more »	The moon from Alien (1979) has been colonized, but contact is lost. This time, the rescue team has impressive firepower, but will it be enough?	 $18,500,000 (estimated)	 $85,200,000 (USA)
Mononoke-hime	Animation|Adventure|Fantasy	Hayao Miyazaki	Yôji Matsuda,	The Fate Of The World Rests On The Courage Of One Warrior. See more »	On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.	 JPY 2,400,000,000 (estimated)	 $2,298,191 (USA)(17 December 1999)
Oldeuboi	Drama|Mystery|Thriller	Chan-wook Park	Min-sik Choi,	15 years forced in a cell, only 5 days given to seek revenge. See more »	After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.	 $3,000,000 (estimated)	 $2,181,290 (USA)(20 December 2013)
Once Upon a Time in America	Crime|Drama	Sergio Leone	Robert De Niro,	Crime, passion and lust for power - Sergio Leone's explosive saga of gangland America. [Australia Theatrical] See more »	A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.	 $30,000,000 (estimated)	 $5,300,000 (USA)
Citizen Kane	Drama|Mystery	Orson Welles	Orson Welles,	It's Terrific! See more »	Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.	 $839,727 (estimated)	NA
Das Boot	Adventure|Drama|Thriller	Wolfgang Petersen	Jürgen Prochnow,	40 000 men were sent out on German U-boats... 30 000 never returned See more »	The claustrophobic world of a WWII German U-boat; boredom, filth, and sheer terror.	 $14,000,000 (estimated)	 $11,433,134 (USA)(25 April 1997)
North by Northwest	Action|Adventure|Crime	Alfred Hitchcock	Cary Grant,	A 2000 MILE CHASE . . . That blazes a trail of TERROR to a gripping, spine-chilling climax ! See more »	A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.	 $3,101,000 (estimated)	NA
Witness for the Prosecution	Crime|Drama|Mystery	Billy Wilder	Tyrone Power,	The most electrifying entertainment of our time! See more »	A veteran British barrister must defend his client in a murder trial that has surprise after surprise.	 $3,000,000 (estimated)	NA
Vertigo	Mystery|Romance|Thriller	Alfred Hitchcock	James Stewart,	A Hitchcock thriller. You should see it from the beginning! See more »	A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.	 $2,479,000 (estimated)	 $3,200,000 (USA)
Star Wars: Episode VI - Return of the Jedi	Action|Adventure|Fantasy	Richard Marquand	Mark Hamill,	The Saga Continues. See more »	After rescuing Han Solo from the palace of Jabba the Hutt, the rebels attempt to destroy the second Death Star, while Luke struggles to make Vader return from the dark side of the Force.	 $32,500,000 (estimated)	 $309,125,409 (USA)(6 June 1997)
M	Crime|Drama|Mystery	Fritz Lang	Peter Lorre,	NA	When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.	NA	 $28,877 (USA)(31 May 2013)
Reservoir Dogs	Crime|Drama|Thriller	Quentin Tarantino	Harvey Keitel,	Seven Total Strangers Team Up For The Perfect Crime. They Don't Know Each Other's Name. But They've Got Each Other's Color See more »	After a simple jewelry heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant.	 $1,200,000 (estimated)	 $2,812,029 (USA)
Braveheart	Biography|Drama|History	Mel Gibson	Mel Gibson,	His passion captivated a woman. His courage inspired a nation. His heart defied a king. See more »	When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.	 $72,000,000 (estimated)	 $75,600,000 (USA)
Amélie	Comedy|Romance	Jean-Pierre Jeunet	Audrey Tautou,	One person can change your life forever. See more »	Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.	 FRF 77,000,000 (estimated)	 $33,201,661 (USA)(28 June 2002)
Requiem for a Dream	Drama	Darren Aronofsky	Ellen Burstyn,	From the director of [Pi]	The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.	 $4,500,000 (estimated)	 $3,609,278 (USA)(2 March 2001)
A Clockwork Orange	Crime|Drama|Sci-Fi	Stanley Kubrick	Malcolm McDowell,	Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven. See more »	In future Britain, charismatic delinquent Alex DeLarge is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem - but not all goes according to plan.	 $2,200,000 (estimated)	NA
Taxi Driver	Crime|Drama	Martin Scorsese	Robert De Niro,	He's a lonely forgotten man desperate to prove that he's alive. See more »	A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.	 $1,300,000 (estimated)	NA
Double Indemnity	Crime|Drama|Film-Noir	Billy Wilder	Fred MacMurray,	Paramount's terrific story of an unholy love, and an almost perfect crime! See more »	An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.	 $927,262 (estimated)	NA
Lawrence of Arabia	Adventure|Biography|Drama	David Lean	Peter O'Toole,	A Mighty Motion Picture Of Action And Adventure! See more »	The story of T.E. Lawrence, the English officer who successfully united and lead the diverse, often warring, Arab tribes during World War I in order to fight the Turks.	 $15,000,000 (estimated)	 $6,000,000 (USA)
To Kill a Mockingbird	Crime|Drama	Robert Mulligan	Gregory Peck,	If you have read the novel, you will relive every treasured moment. . .If not, a deeply moving experience awaits you! See more »	Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.	 $2,000,000 (estimated)	NA
Toy Story 3	Animation|Adventure|Comedy	Lee Unkrich	Tom Hanks,	The great escape See more »	The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.	 $200,000,000 (estimated)	 $414,984,497 (USA)(26 November 2010)
Eternal Sunshine of the Spotless Mind	Drama|Fantasy|Romance	Michel Gondry	Jim Carrey,	Do I know you? See more »	When their relationship turns sour, a couple undergoes a procedure to have each other erased from their memories. But it is only through the process of loss that they discover what they had to begin with.	 $20,000,000 (estimated)	 $34,126,138 (USA)(18 June 2004)
Amadeus	Biography|Drama|History	Milos Forman	F. Murray Abraham,	Everything you've heard is true. See more »	The incredible story of Wolfgang Amadeus Mozart, told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.	 $18,000,000 (estimated)	 $51,600,000 (USA)
Full Metal Jacket	Drama|War	Stanley Kubrick	Matthew Modine,	In Vietnam The Wind Doesn't Blow It Sucks See more »	A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.	 $30,000,000 (estimated)	 $46,357,676 (USA)
The Sting	Comedy|Crime|Drama	George Roy Hill	Paul Newman,	...all it takes is a little Confidence. See more »	In Chicago in September 1936, a young con man seeking revenge for his murdered partner teams up with a master of the big con to win a fortune from a criminal banker.	 $5,500,000 (estimated)	 $159,600,000 (USA)
2001: A Space Odyssey	Adventure|Mystery|Sci-Fi	Stanley Kubrick	Keir Dullea,	Let the Awe and Mystery of a Journey Unlike Any Other Begin See more »	Humanity finds a mysterious, obviously artificial object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.	 $12,000,000 (estimated)	 $56,715,371 (USA)
Ladri di biciclette	Drama	Vittorio De Sica	Lamberto Maggiorani,	NA	Set in Post-WWII Italy, a working class man's bicycle is stolen. He and his son set out to find it.	 $133,000 (estimated)	 $332,930 (USA)(3 September 1999)
Toy Story	Animation|Adventure|Comedy	John Lasseter	Tom Hanks,	Watch out for little green men. See more »	A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.	 $30,000,000 (estimated)	 $191,796,233 (USA)
Snatch	Comedy|Crime	Guy Ritchie	Jason Statham,	Stealing stones is hazardous. See more »	Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond.	 £6,000,000 (estimated)	 $30,093,107 (USA)(9 March 2001)
Singin' in the Rain	Comedy|Musical|Romance	Stanley Donen,	Gene Kelly,	MGM's Musical Treasure ! See more »	A silent film production company and cast make a difficult transition to sound.	 $2,540,800 (estimated)	NA
Inglourious Basterds	Adventure|Drama|War	Quentin Tarantino,	Brad Pitt,	"...because, Marcel, my sweet, we're going to make a film, just for the Nazis." See more »	In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.	 $75,000,000 (estimated)	 $120,523,073 (USA)(11 December 2009)
The Kid	Comedy|Drama|Family	Charles Chaplin (as Charlie Chaplin)	Charles Chaplin,	This is the great picture upon which the famous comedian has worked a whole year. See more »	The Tramp cares for an abandoned child, but events put that relationship in jeopardy.	 $250,000 (estimated)	 $2,500,000 (USA)
Monty Python and the Holy Grail	Adventure|Comedy|Fantasy	Terry Gilliam,	Graham Chapman,	Sets The Cinema Back 900 Years! See more »	King Arthur and his knights embark on a low-budget search for the Grail, encountering many, very silly obstacles.	 £229,575 (estimated)	 $1,229,197 (USA)(25 May 2012)
L	Crime|Drama|Mystery	Curtis Hanson	Kevin Spacey,	Everything is suspect...everyone is for sale...and nothing is what it seems. See more »	As corruption grows in 1950s LA, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.	 $35,000,000 (estimated)	 $64,604,977 (USA)(29 May 1998)
Per qualche dollaro in più	Western	Sergio Leone	Clint Eastwood,	Clint Eastwood is back, and he's burning at both ends - if you can take it. See more »	Two bounty hunters with the same intentions team up to track down a Western outlaw.	 $600,000 (estimated)	NA
Rashômon	Crime|Drama|Mystery	Akira Kurosawa	Toshirô Mifune,	The husband, the wife...or the bandit? See more »	A heinous crime and its aftermath are recalled from differing points of view.	 $250,000 (estimated)	NA
