MovieName	Genres	Director	Actors	Tagline	Summary	BoxOfficeBudget	BoxOfficeGross
Spotlight	Biography|Crime|Drama	Tom McCarthy	Mark Ruffalo,	Break the story. Break the silence. See more »	The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.	 $20,000,000 (estimated)	 $44,988,180 (USA)(29 April 2016)
The Maltese Falcon	Film-Noir|Mystery	John Huston	Humphrey Bogart,	Another Great Story from the author of "The Thin Man!" See more »	A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.	 $375,000 (estimated)	NA
Butch Cassidy and the Sundance Kid	Biography|Crime|Drama	George Roy Hill	Paul Newman,	You never met a pair like Butch and The Kid. See more »	Two Western bank/train robbers flee to Bolivia when the law gets too close.	 $6,000,000 (estimated)	 $102,308,900 (USA)
Mad Max: Fury Road	Action|Adventure|Sci-Fi	George Miller	Tom Hardy,	Only the mad survive See more »	A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.	 $150,000,000 (estimated)	 $153,629,485 (USA)(18 September 2015)
Stand by Me	Adventure|Drama	Rob Reiner	Wil Wheaton,	For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.	After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.	 $8,000,000 (estimated)	 $52,287,414 (USA)
In the Name of the Father	Biography|Drama|History	Jim Sheridan	Daniel Day-Lewis,	In the name of truth... In the name of justice... In the name of love. See more »	A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.	 $13,000,000 (estimated)	 $25,010,410 (USA)
Les quatre cents coups	Crime|Drama	François Truffaut	Jean-Pierre Léaud,	From the Vanguard of New Film-Makers Comes an Extraordinary Motion Picture See more »	Moving story of a young boy who, left without attention, delves into a life of petty crime.	NA	NA
Relatos salvajes	Comedy|Drama|Thriller	Damián Szifrón (as Damián Szifron)	Darío Grandinetti,	We can all lose control	Six short stories that explore the extremities of human behavior involving people in distress.	 $3,300,000 (estimated)	 $3,079,012 (USA)(26 June 2015)
12 Years a Slave	Biography|Drama|History	Steve McQueen	Chiwetel Ejiofor,	The extraordinary true story of Solomon Northup	In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.	 $20,000,000 (estimated)	 $56,667,870 (USA)(2 May 2014)
Persona	Drama|Thriller	Ingmar Bergman	Bibi Andersson,	A new film by Ingmar Bergman See more »	A nurse is put in charge of an actress who can't talk and finds that the actress's persona is melding with hers.	NA	NA
The Grand Budapest Hotel	Adventure|Comedy|Crime	Wes Anderson	Ralph Fiennes,	NA	The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.	 $25,000,000 (estimated)	 $59,073,773 (USA)(22 August 2014)
Ben-Hur	Adventure|Drama|History	William Wyler	Charlton Heston,	The World's Most Honored Motion Picture See more »	When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.	 $15,900,000 (estimated)	 $70,000,000 (USA)
